Macrotrends Data Download,,,
,,,
Dallas TX Crime Rate 1999-2018,,,
Original Source: FBI - Crime in the U.S.,,,
,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
,,,
date, Dallas, TX, US
12/31/1999,null,560.2934,522.9527
12/31/2000,null,545.0507,506.5299
12/31/2001,null,571.5928,504.5185
12/31/2002,null,579.7416,494.3771
12/31/2003,1370.8016,553.0649,475.8351
12/31/2004,1315.7113,540.924,463.1556
12/31/2005,1254.0813,528.1242,469.0428
12/31/2006,1206.355,517.284,479.3354
12/31/2007,1069.1597,510.4253,471.7739
12/31/2008,894.8343,508.0163,458.6142
12/31/2009,792.1622,491.0117,431.8787
12/31/2010,701.0388,448.3781,404.5023
12/31/2011,681.1003,408.61,387.0597
12/31/2012,674.9633,408.5639,387.7538
12/31/2013,663.7371,410.3165,369.1334
12/31/2014,664.6516,406.6521,361.5539
12/31/2015,694.1751,412.6668,373.7372
12/31/2016,762.4122,433.8455,397.5208
12/31/2017,774.6436,437.7546,394.8597
12/31/2018,764.9371,410.8691,380.559
